metal_pair,n,sep_R2,sep_RMSE,mean_conf_err
Dy(III)/Tb(III),806,0.316,0.699,0.44
Dy(III)/Eu(III),312,-0.011,0.626,0.459
Eu(III)/Tb(III),268,0.472,0.465,0.367
Dy(III)/Er(III),249,0.574,1.04,0.817
Dy(III)/La(III),189,0.573,0.511,0.507
Dy(III)/Yb(III),176,0.81,1.0,0.592
Nd(III)/Tb(III),144,0.331,0.713,0.559
Am(III)/Eu(III),128,0.378,1.192,0.586
La(III)/Tb(III),120,0.477,0.686,0.47
Er(III)/Tb(III),116,-0.05,2.529,0.965
Dy(III)/Nd(III),113,0.527,0.665,0.579
La(III)/Nd(III),93,0.391,0.66,0.506
Tb(III)/Yb(III),93,0.404,0.695,0.495
Gd(III)/Tb(III),90,0.377,0.548,0.464
Tb(III)/Tm(III),82,-0.336,0.446,0.343
Cm(III)/Dy(III),80,-0.564,0.604,0.421
Dy(III)/Gd(III),76,-0.608,0.659,0.493
Cm(III)/Tb(III),72,0.594,0.42,0.369
Er(III)/La(III),66,0.388,1.164,1.031
Er(III)/Eu(III),64,0.67,0.821,0.869
Am(III)/Yb(III),57,0.772,1.019,1.008
Er(III)/Nd(III),55,-0.025,4.131,1.097
Eu(III)/La(III),55,0.587,0.935,0.568
Lu(III)/Nd(III),47,0.676,0.609,0.749
La(III)/Lu(III),47,0.177,0.719,0.696
Cm(III)/La(III),42,0.765,0.912,0.725
Am(III)/Pu(IV),42,0.519,0.845,0.638
La(III)/Pr(III),40,-0.005,1.248,0.742
Eu(III)/Yb(III),40,0.418,0.606,0.543
Eu(III)/Gd(III),37,-2.741,0.789,0.603
Am(III)/Lu(III),35,0.452,1.252,0.772
Lu(III)/Tb(III),34,0.456,0.271,0.645
Er(III)/Lu(III),33,0.09,1.08,1.119
Er(III)/Tm(III),32,-1.258,0.591,0.624
Er(III)/Pr(III),32,-0.029,1.162,0.964
Ce(III)/Pr(III),31,0.728,0.863,0.644
Am(III)/Pr(III),29,0.633,0.763,0.65
Pr(III)/Yb(III),29,-0.597,0.901,0.858
Ce(III)/Gd(III),29,-0.944,0.905,0.763
Dy(III)/Lu(III),28,-0.177,0.318,0.654
Nd(III)/Pr(III),28,0.212,1.292,0.826
Cm(III)/Eu(III),28,0.316,0.38,0.347
Am(III)/Tb(III),27,0.054,1.157,0.578
Cm(III)/Er(III),27,0.569,0.916,0.948
Ce(III)/Eu(III),24,0.191,0.885,0.58
Eu(III)/Pr(III),24,0.454,1.266,0.649
Am(III)/Sm(III),24,0.471,0.884,0.777
Gd(III)/Sm(III),24,-1.333,1.271,0.961
Er(III)/Sm(III),24,0.3,1.449,0.969
Sm(III)/Tb(III),23,0.196,0.778,0.756
Am(III)/Dy(III),23,0.058,1.358,0.656
Np(VI)/Pu(IV),22,-0.442,1.194,0.726
Eu(III)/Nd(III),21,0.657,0.674,0.596
Lu(III)/Yb(III),21,0.378,1.429,1.245
Am(III)/Er(III),21,0.496,1.23,1.104
Nd(III)/Np(V),20,-2.338,1.54,0.87
Np(V)/Sm(III),18,-0.501,1.733,0.975
Ce(III)/Tb(III),18,0.269,0.892,0.571
Cm(III)/Nd(III),18,0.356,0.691,0.583
Ho(III)/La(III),17,-0.235,0.902,0.66
Cf(III)/Pr(III),17,-0.165,1.21,0.676
Tm(III)/Yb(III),17,0.264,1.38,0.955
Cm(III)/Pr(III),17,-0.005,1.198,0.664
Lu(III)/Tm(III),17,-0.972,0.574,0.754
Eu(III)/Sm(III),16,-0.898,0.912,0.741
Gd(III)/Ho(III),15,-0.162,1.02,0.804
Pr(III)/Sm(III),15,-0.264,1.397,0.756
Pr(III)/Tb(III),15,0.284,1.042,0.584
Cm(III)/Gd(III),15,-0.819,0.349,0.42
Np(V)/Pr(III),15,-0.25,1.65,0.901
