metal,n,metal_mean_dG,greedy_top20_mean_dG,metal_best_mean_dG
Am(III),237,-4.27,-8.53,-13.33
Ce(III),120,0.38,-5.26,-9.81
Cm(III),9,-6.48,-9.2,-12.96
Dy(III),112,0.12,-4.09,-9.36
Er(III),108,-3.5,-7.11,-13.23
Eu(III),323,1.78,-4.19,-8.36
Gd(III),111,12.97,2.27,-3.35
Ho(III),91,8.57,-1.39,-4.24
La(III),143,1.38,-10.39,-15.15
Lu(III),98,0.11,-1.07,-11.83
Nd(III),128,-3.95,-4.15,-12.09
Np(IV),13,-2.97,-4.18,-5.93
Np(V),44,0.52,1.49,-5.22
Np(VI),5,-3.27,-2.75,-7.56
Pr(III),132,2.2,-9.24,-11.53
Pu(IV),30,1.46,-14.01,-14.08
Pu(VI),7,-4.0,-7.28,-9.58
Sm(III),122,-1.79,-3.38,-10.66
Tb(III),98,-1.13,-2.35,-8.38
Th(IV),75,2.11,-2.81,-7.3
Tm(III),83,3.56,-1.51,-6.47
U(VI),82,-2.29,-6.24,-9.46
Yb(III),92,0.34,-2.36,-10.74
