K_pct,optimal_mean_dG,greedy_precision_at_K,UCB_precision_at_K,random_precision_at_K,greedy_mean_dG,UCB_mean_dG,random_mean_dG
2.0,-19.5,0.733,0.489,0.089,-13.51,-8.15,1.38
4.0,-16.86,0.667,0.422,0.1,-11.81,-6.73,0.17
6.0,-15.5,0.529,0.449,0.125,-9.73,-7.0,-0.51
8.0,-14.55,0.459,0.403,0.133,-9.24,-5.99,-0.19
10.0,-13.79,0.427,0.401,0.119,-8.54,-5.98,-0.22
12.0,-13.16,0.404,0.382,0.114,-8.02,-5.91,0.23
14.0,-12.55,0.365,0.365,0.113,-7.42,-5.77,0.25
16.0,-12.0,0.344,0.347,0.107,-7.02,-5.72,0.28
18.0,-11.47,0.315,0.333,0.112,-6.62,-5.64,0.29
20.0,-10.99,0.308,0.313,0.112,-6.45,-5.46,0.27
22.0,-10.53,0.286,0.298,0.108,-6.12,-5.26,0.42
24.0,-10.11,0.268,0.286,0.108,-5.82,-5.08,0.65
26.0,-9.73,0.253,0.273,0.108,-5.48,-4.98,0.72
28.0,-9.36,0.244,0.263,0.118,-5.36,-4.9,0.54
30.0,-9.01,0.231,0.253,0.113,-5.21,-4.69,0.64
