smiles,explore_pair,explore_SF,explore_unc,explore_support,cand_unc
CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,Cm(III)/La(III),81.8,0.308,5,0.204
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,Cm(III)/La(III),72.5,0.295,5,0.193
CCCCN(CCCC)C(=S)c1cccc(C(=S)N(CCCC)CCCC)n1,Cm(III)/La(III),59.0,0.266,5,0.189
CCCCCCSc1ccc(-c2nc(N(CCCC)CCCC)nc(N(CCCC)CCCC)n2)nc1,Cm(III)/La(III),49.9,0.316,5,0.206
CCCCC(CC)CP(=S)(S)CC(CC)CCCC,Cm(III)/La(III),48.3,0.306,5,0.246
CCC1CCC(P(=S)(S)C2CCC(CC)CC2)CC1,Am(III)/Pu(IV),46.9,0.278,13,0.255
S=P(S)(CC1CCCCC1)CC1CCCCC1,Am(III)/Pu(IV),45.5,0.25,13,0.24
CCC(C)C1CCC(P(=S)(S)C2CCC(C(C)CC)CC2)CC1,Cm(III)/La(III),45.5,0.286,5,0.259
CC(C)(C)C1CCC(P(=S)(S)C2CCC(C(C)(C)C)CC2)CC1,Am(III)/La(III),40.0,0.31,36,0.242
Cc1ccc(P(=S)(S)c2ccc(C)cc2)cc1,Cm(III)/Pr(III),38.9,0.306,5,0.258
CCCCCCP(=S)(S)c1ccc2ccccc2c1,Cm(III)/Pr(III),36.0,0.306,5,0.273
CC(C)(C)CP(=S)(S)CC(C)(C)C,Am(III)/Pu(IV),32.6,0.279,13,0.211
CCC(C)(C)CP(=S)(S)CC(C)(C)CC,Am(III)/Pu(IV),30.8,0.308,13,0.229
CCCCC(CCCC)C(=S)N(CCCC)CC(=S)N(CCCC)CCCC,Cm(III)/La(III),30.1,0.307,5,0.21
CC(C)(C)c1ccc(P(=S)(S)c2ccc(F)cc2)cc1,Cm(III)/La(III),27.0,0.27,5,0.258
CCCCCCP(=S)(S)c1ccc(C(C)(C)C)cc1,Cm(III)/Pr(III),26.5,0.239,5,0.241
S=P(S)(c1cccs1)C1CCCCC1,Cm(III)/Pr(III),25.3,0.247,5,0.199
CCC1CCC(P(=S)(S)C2CCCCC2)CC1,Am(III)/Pu(IV),24.5,0.289,13,0.25
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CC(=S)N(CC(CC)CCCC)CC(CC)CCCC,Cm(III)/Gd(III),19.1,0.306,5,0.223
CC(C)CN(CC(C)C)C(=S)CC(=S)N(CC(C)C)CC(C)C,Am(III)/Pu(IV),18.6,0.277,13,0.222
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CCC(=S)N(CC(CC)CCCC)CC(CC)CCCC,Cm(III)/Gd(III),18.4,0.275,5,0.209
