smiles,trusted_pair,trusted_SF,trusted_unc,trusted_support,cand_unc
CC(C)(C)C1CCC(P(=S)(S)C2CCC(C(C)(C)C)CC2)CC1,Am(III)/La(III),40.0,0.31,36,0.242
CC(C)(C)CC1CCC(P(=S)(S)C2CCC(CC(C)(C)C)CC2)CC1,Am(III)/La(III),39.5,0.296,36,0.251
CCC(C)C1CCC(P(=S)(S)C2CCC(C(C)CC)CC2)CC1,Am(III)/La(III),39.3,0.313,36,0.259
CCC1CCC(P(=S)(S)C2CCC(CC)CC2)CC1,Am(III)/Gd(III),38.9,0.289,22,0.255
CCCCC(CC)CP(=S)(S)CC(CC)CCCC,Am(III)/La(III),38.0,0.304,36,0.246
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,Am(III)/La(III),32.1,0.272,36,0.193
S=P(S)(CC1CCCCC1)CC1CCCCC1,Am(III)/Gd(III),31.4,0.252,22,0.24
CCCCCCN(CCCCCC)C(=S)CCCC(=S)N(CCCCCC)CCCCCC,Am(III)/La(III),26.0,0.309,36,0.212
CCC(C)(C)CP(=S)(S)CC(C)(C)CC,Am(III)/La(III),21.7,0.294,36,0.229
CCCCN(CCCC)C(=S)c1cccc(C(=S)N(CCCC)CCCC)n1,Am(III)/La(III),21.4,0.281,36,0.189
CCC(CC)CCCCCN(CC)C(=S)CCN(CCCCCC(CC)CC)C(=S)CCC(CC)CC,Am(III)/La(III),19.3,0.285,36,0.221
CC(C)(C)c1ccc(P(=S)(S)c2ccc(F)cc2)cc1,Am(III)/La(III),18.5,0.31,36,0.258
CCC1CCC(P(=S)(S)C2CCCCC2)CC1,Am(III)/Gd(III),18.4,0.292,22,0.25
CCCCCCCCN(CCCCCCCC)C(=O)CSCC(=O)N(CCCCCCCC)CCCCCCCC,La(III)/Nd(III),17.3,0.275,94,0.196
CCCCCCN(CCCCCC)C(=S)CC(=S)N(CCCCCC)CCCCCC,Am(III)/La(III),17.0,0.29,36,0.2
CCCCCCP(=S)(S)c1ccc(C(C)(C)C)cc1,Am(III)/Pr(III),15.8,0.3,33,0.241
S=P(S)(c1cccs1)C1CCCCC1,Am(III)/Pr(III),15.6,0.266,33,0.199
CCCCCCCCN(CC(=S)N(CCCCCCCC)CCCCCCCC)C(=O)c1ccccn1,La(III)/Nd(III),14.7,0.307,94,0.217
CCCCCCCCN(CCCCCCCC)C(=S)CC(=S)N(CCCCCCCC)CCCCCCCC,Am(III)/La(III),14.5,0.268,36,0.202
CC(C)CN(CC(C)C)C(=S)CC(=S)N(CC(C)C)CC(C)C,Am(III)/Gd(III),14.1,0.28,22,0.222
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CCC(=S)N(CC(CC)CCCC)CC(CC)CCCC,Gd(III)/Nd(III),13.1,0.305,79,0.209
