model,R2,RMSE,params
RF,0.468,6.34,"{'n_estimators': 300, 'max_features': 1.0, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 0}"
RF,0.468,6.34,"{'n_estimators': 300, 'max_features': 1.0, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 0}"
RF,0.458,6.4,"{'n_estimators': 700, 'max_features': 0.5, 'min_samples_leaf': 4, 'n_jobs': -1, 'random_state': 0}"
RF,0.46,6.39,"{'n_estimators': 300, 'max_features': 1.0, 'min_samples_leaf': 4, 'n_jobs': -1, 'random_state': 0}"
RF,0.472,6.32,"{'n_estimators': 300, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_jobs': -1, 'random_state': 0}"
RF,0.458,6.4,"{'n_estimators': 500, 'max_features': 0.5, 'min_samples_leaf': 4, 'n_jobs': -1, 'random_state': 0}"
RF,0.459,6.39,"{'n_estimators': 700, 'max_features': 1.0, 'min_samples_leaf': 4, 'n_jobs': -1, 'random_state': 0}"
RF,0.472,6.32,"{'n_estimators': 300, 'max_features': 0.5, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 0}"
RF,0.474,6.3,"{'n_estimators': 400, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_jobs': -1, 'random_state': 0}"
RF,0.472,6.31,"{'n_estimators': 400, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_jobs': -1, 'random_state': 0}"
RF,0.458,6.4,"{'n_estimators': 700, 'max_features': 0.5, 'min_samples_leaf': 4, 'n_jobs': -1, 'random_state': 0}"
RF,0.474,6.3,"{'n_estimators': 700, 'max_features': 1.0, 'min_samples_leaf': 1, 'n_jobs': -1, 'random_state': 0}"
RF,0.473,6.31,"{'n_estimators': 500, 'max_features': 1.0, 'min_samples_leaf': 1, 'n_jobs': -1, 'random_state': 0}"
RF,0.468,6.34,"{'n_estimators': 400, 'max_features': 1.0, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 0}"
XGB,0.405,6.7,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.02, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 1, 'reg_lambda': 3.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.456,6.41,"{'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.5, 'min_child_weight': 5, 'reg_lambda': 0.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.464,6.36,"{'n_estimators': 400, 'max_depth': 8, 'learning_rate': 0.02, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 0.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.451,6.44,"{'n_estimators': 600, 'max_depth': 8, 'learning_rate': 0.02, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.408,6.69,"{'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.02, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 0.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.442,6.49,"{'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.02, 'subsample': 0.6, 'colsample_bytree': 0.7, 'min_child_weight': 5, 'reg_lambda': 0.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.423,6.6,"{'n_estimators': 400, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.5, 'min_child_weight': 1, 'reg_lambda': 0.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.453,6.43,"{'n_estimators': 400, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 0.7, 'min_child_weight': 3, 'reg_lambda': 1.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.415,6.65,"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.02, 'subsample': 0.8, 'colsample_bytree': 0.5, 'min_child_weight': 3, 'reg_lambda': 3.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.424,6.6,"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 0.6, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.433,6.55,"{'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.02, 'subsample': 0.6, 'colsample_bytree': 0.7, 'min_child_weight': 3, 'reg_lambda': 0.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.426,6.58,"{'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 3.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.432,6.55,"{'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
XGB,0.439,6.51,"{'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 0.0, 'tree_method': 'hist', 'n_jobs': -1, 'random_state': 0}"
LGB,0.421,6.61,"{'n_estimators': 800, 'num_leaves': 63, 'learning_rate': 0.05, 'subsample': 0.6, 'subsample_freq': 1, 'colsample_bytree': 1.0, 'min_child_samples': 5, 'reg_lambda': 0.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.454,6.42,"{'n_estimators': 800, 'num_leaves': 15, 'learning_rate': 0.03, 'subsample': 1.0, 'subsample_freq': 1, 'colsample_bytree': 1.0, 'min_child_samples': 5, 'reg_lambda': 0.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.405,6.7,"{'n_estimators': 400, 'num_leaves': 31, 'learning_rate': 0.03, 'subsample': 0.6, 'subsample_freq': 1, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_lambda': 3.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.439,6.51,"{'n_estimators': 800, 'num_leaves': 127, 'learning_rate': 0.02, 'subsample': 0.6, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 5, 'reg_lambda': 0.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.43,6.56,"{'n_estimators': 800, 'num_leaves': 63, 'learning_rate': 0.01, 'subsample': 0.6, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 20, 'reg_lambda': 3.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.416,6.64,"{'n_estimators': 400, 'num_leaves': 15, 'learning_rate': 0.05, 'subsample': 0.8, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 50, 'reg_lambda': 1.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.412,6.66,"{'n_estimators': 600, 'num_leaves': 31, 'learning_rate': 0.05, 'subsample': 0.6, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 5, 'reg_lambda': 1.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.428,6.57,"{'n_estimators': 600, 'num_leaves': 63, 'learning_rate': 0.02, 'subsample': 0.6, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 20, 'reg_lambda': 3.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.426,6.58,"{'n_estimators': 600, 'num_leaves': 31, 'learning_rate': 0.05, 'subsample': 0.8, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 5, 'reg_lambda': 0.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.453,6.43,"{'n_estimators': 600, 'num_leaves': 63, 'learning_rate': 0.02, 'subsample': 0.8, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 5, 'reg_lambda': 1.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.44,6.5,"{'n_estimators': 800, 'num_leaves': 15, 'learning_rate': 0.03, 'subsample': 1.0, 'subsample_freq': 1, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_lambda': 1.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.406,6.7,"{'n_estimators': 800, 'num_leaves': 15, 'learning_rate': 0.01, 'subsample': 0.8, 'subsample_freq': 1, 'colsample_bytree': 0.5, 'min_child_samples': 50, 'reg_lambda': 3.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.427,6.58,"{'n_estimators': 400, 'num_leaves': 63, 'learning_rate': 0.05, 'subsample': 1.0, 'subsample_freq': 1, 'colsample_bytree': 1.0, 'min_child_samples': 20, 'reg_lambda': 1.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
LGB,0.381,6.84,"{'n_estimators': 400, 'num_leaves': 127, 'learning_rate': 0.01, 'subsample': 0.6, 'subsample_freq': 1, 'colsample_bytree': 1.0, 'min_child_samples': 50, 'reg_lambda': 1.0, 'n_jobs': -1, 'random_state': 0, 'verbosity': -1}"
