Metal,n,R2,RMSE,median_confidence_err,top25_R2,top25_RMSE
Cm(III),44,0.784,0.436,0.318,0.87,0.284
Tb(III),238,0.504,0.561,0.364,0.353,0.448
Ce(III),333,0.741,0.638,0.449,0.929,0.344
Dy(III),349,0.72,0.648,0.406,0.917,0.38
Am(III),1121,0.801,0.656,0.445,0.95,0.382
Pu(IV),138,0.644,0.709,0.531,0.754,0.634
Ho(III),211,0.794,0.737,0.534,0.885,0.577
Pr(III),298,0.725,0.754,0.518,0.903,0.45
Th(IV),443,0.75,0.757,0.395,0.936,0.306
Eu(III),986,0.712,0.775,0.493,0.889,0.409
Nd(III),343,0.56,0.782,0.458,0.9,0.341
Pu(VI),26,0.568,0.793,0.662,,
Lu(III),236,0.701,0.837,0.464,0.861,0.501
Gd(III),297,0.769,0.84,0.57,0.887,0.594
La(III),331,0.781,0.844,0.547,0.804,0.5
Sm(III),273,0.529,0.882,0.599,0.803,0.541
Yb(III),210,0.534,0.927,0.634,0.782,0.488
Np(IV),68,0.398,0.996,0.668,-0.339,0.311
Np(V),147,0.053,1.027,0.819,0.406,0.788
Tm(III),196,0.574,1.037,0.719,0.688,0.558
U(VI),491,0.314,1.062,0.644,0.585,0.576
Er(III),254,0.391,1.392,0.667,0.787,0.501
