,proportion
Am(III),2.851865276306251
Nd(III),2.5033039647577096
Cm(III),2.225159079784631
Pu(VI),2.1456891126494653
Er(III),2.0860866372980906
U(VI),1.3432362737724293
Pu(IV),1.3350954478707784
Pr(III),1.1378654385262315
Np(VI),1.0013215859030837
Sm(III),0.861793168195277
Lu(III),0.7152297042164883
Ce(III),0.6675477239353892
Yb(III),0.5441965140777629
La(III),0.5251686639351838
Tb(III),0.5108783601546346
Th(IV),0.46728340675477237
Eu(III),0.4650100244131967
Dy(III),0.44701856513530525
Np(IV),0.38512368688580145
Tm(III),0.18096173239212357
Ho(III),0.16505300866534348
Gd(III),0.0902091518831607
