regime,coverage,n,mean_abs_delta,target_std,signed_R2,signed_RMSE,magnitude_R2,direction_acc,spearman,useful_F1,unc_calibration_rho
known extractant,100%,4598,1.113,1.613,0.356,1.294,0.166,0.726,0.601,0.616,0.389
known extractant,75%,3448,0.96,1.331,0.47,0.969,0.317,0.738,0.639,0.602,0.389
known extractant,50%,2299,0.735,0.989,0.452,0.733,0.229,0.77,0.672,0.556,0.389
known extractant,25%,1149,0.547,0.729,0.323,0.6,-0.12,0.751,0.602,0.356,0.389
known extractant,10%,459,0.446,0.584,0.591,0.373,0.332,0.789,0.776,0.614,0.389
new extractant,100%,4598,1.113,1.613,0.188,1.453,-0.199,0.656,0.462,0.439,0.201
new extractant,75%,3448,1.011,1.416,0.205,1.263,-0.185,0.65,0.463,0.467,0.201
new extractant,50%,2299,0.775,1.048,0.238,0.915,-0.198,0.639,0.445,0.327,0.201
new extractant,25%,1149,0.841,1.124,0.185,1.015,-0.297,0.633,0.431,0.303,0.201
new extractant,10%,459,0.764,0.955,-0.003,0.956,-0.554,0.586,0.416,0.305,0.201
